Time c_o3COM[3]
0 35.020929
0 33.220474
0 36.22508
0 34.412774
0 37.554606
0 33.758592
0 35.164096
0 37.067373
0 37.386536
0 36.884152
0 32.209349
0 34.884075
0 37.563134
0 31.040734
0 30.219212
0 37.782053
0 33.082027
0 35.241777
0 32.427589
0 34.277305
0 33.135544
0 31.82628
0 33.397454
0 36.035616
0 38.009304
0 37.380381
0 31.908512
0 36.275298
0 38.303262
0 34.379139
0 36.061478
0 35.823894
0 34.839533
0 36.820526
0 32.888394
0 38.165064
0 36.014775
0 31.827755
0 35.355629
0 35.422745
0 36.094107
0 38.020866
0 37.429132
0 31.134912
0 37.13177
0 34.594581
0 36.207461
0 34.713752
0 33.59171
0 37.218009
0 36.59491
0 32.945206
0 37.111826
0 37.737699
0 33.990063
0 38.482221
0 34.30933
0 39.88938
0 36.111269
0 33.359276
0 35.442778
0 34.535157
0 30.044724
0 33.444894
0 34.338893
0 34.57669
0 35.702815
0 35.157482
0 35.911101
0 35.418204
0 36.604254
0 36.655186
0 36.344691
0 35.724276
0 34.753707
0 37.980812
0 33.663636
0 35.477328
0 33.524072
0 37.970573
0 36.926928
0 33.655436
0 33.05209
0 35.161739
0 34.759056
0 35.210078
0 32.844197
0 36.210592
0 33.079945
0 33.573152
0 37.984252
0 34.241391
0 36.255462
0 33.371748
0 30.127125
0 32.201431
0 34.728187
0 32.247452
0 36.291258
0 35.139166
0 35.935878
0 35.713401
0 34.406953
0 36.523435
0 31.934324
0 32.125016
0 33.744995
0 36.521676
0 35.620652
0 34.932065
0 33.012156
0 35.738731
0 35.947825
0 32.260266
0 35.058402
0 33.50642
0 41.27326
0 37.901003
0 38.78031
0 40.666373
0 36.632825
0 36.50084
0 32.526764
0 32.921629
0 35.356265
0 34.522367
0 38.425394
0 37.401825
0 36.262363
0 34.56184
0 34.415019
0 36.104761
0 36.607255
0 36.294806
0 35.808351
0 33.915209
0 35.409616
0 37.234269
0 35.741668
0 34.256293
0 38.258232
0 30.608685
0 35.254877
0 36.005163
0 38.110296
0 35.782125
0 37.563817
0 35.947287
0 38.265077
0 34.628383
0 34.626759
0 37.278402
0 35.635408
0 35.043934
0 33.901982
0 34.708156
0 37.552319
0 39.083567
0 36.099836
0 33.968236
0 35.686643
0 35.697733
0 35.642438
0 35.094415
0 33.634099
0 33.949431
0 34.076284
0 35.08389
0 37.253158
0 36.070361
0 34.483456
0 32.833014
0 34.858679
0 34.139362
0 38.240729
0 34.710934
0 32.678124
0 35.401897
0 32.472636
0 35.12513
0 35.294872
0 31.726671
0 36.066742
0 33.129278
0 35.563612
0 36.474469
0 35.250474
0 35.84917
0 32.674081
0 35.432117
0 34.697388
0 35.917404
0 37.813917
0 34.80216
0 34.847682
0 38.573842
0 33.809237
0 34.231893
0 33.697731
0 32.583788
0 30.96666
0 32.791502
0 36.923758
0 35.122578
0 34.845237
0 34.958044
0 34.260309
0 33.680757
0 35.587797
0 34.388452
0 36.926815
0 38.109653
0 33.655348
0 32.420569
0 34.110505
0 34.360104
0 36.206784
0 35.524743
0 29.475082
0 35.380917
0 35.187503
0 33.770522
0 36.679879
0 33.507958
0 37.344627
0 32.91866
0 36.152849
0 35.934196
0 36.941708
0 33.689313
0 33.088038
0 35.191659
0 34.371736
0 35.443618
0 33.460187
0 35.957156
0 36.056955
0 33.564202
0 33.593386
0 35.562819
0 38.984163
0 36.267442
0 36.182194
0 35.955202
0 34.197194
0 34.695284
0 33.852771
0 35.739714
0 36.002188
0 37.893339
0 33.052132
0 35.848198
0 35.303788
0 33.60354
0 36.972539
0 36.266228
0 35.549603
0 38.662603
0 36.100414
0 34.820161
0 32.076526
0 36.330195
0 35.439759
0 35.274307
0 35.460374
0 34.210736
0 33.969335
0 36.844375
0 36.454003
0 36.62313
0 33.872351
0 34.161421
0 33.401059
0 29.18399
0 32.039014
0 34.326857
0 33.797629
0 33.772892
0 32.084658
0 36.376373
0 38.434292
0 35.52572
0 34.828572
0 34.738254
0 35.219478
0 30.990005
0 35.968611
0 35.236821
0 36.555852
0 33.079947
0 33.811429
0 32.718749
0 34.175976
0 35.158759
0 32.118427
0 39.560742
0 33.022377
0 38.236274
0 37.752392
0 38.690232
0 32.634489
0 33.480762
0 33.71231
0 33.031383
0 37.562254
0 34.608657
0 36.332362
0 34.324442
0 37.731297
0 36.186906
0 33.882246
0 38.192919
0 35.219399
0 33.619034
0 33.066563
0 34.129691
0 38.056103
0 35.033883
0 33.201319
0 34.247443
0 36.624973
0 36.116131
0 38.145513
0 34.512932
0 32.294304
0 34.898968
0 36.498244
0 32.085937
0 32.349735
0 36.49729
0 33.352846
0 33.916053
0 34.179655
0 35.52923
0 33.507998
0 35.810181
0 37.479475
0 31.004761
0 34.29268
0 36.135825
0 36.051191
0 35.181332
0 37.225494
0 36.597548
0 34.682481
0 38.889517
0 32.045674
0 35.564246
0 33.718414
0 35.574767
0 32.686937
0 34.20462
0 34.090056
0 35.677643
0 32.651291
0 32.171974
0 35.795472
0 36.236598
0 37.077296
0 34.444745
0 27.803628
0 32.99064
0 34.151506
0 36.446842
0 33.314868
0 34.900097
0 34.521063
0 34.984558
0 35.078453
0 33.093909
0 35.704594
0 35.172065
0 37.544043
0 38.181398
0 33.434064
0 34.856664
0 32.62063
0 36.460608
0 35.640542
0 36.562262
0 33.937815
0 36.475415
0 33.857935
0 33.077656
0 35.191744
0 33.440743
0 33.776678
0 34.31355
0 34.832713
0 33.272262
0 34.557287
0 36.297168
0 31.874951
0 31.238535
0 37.05636
0 36.265398
0 35.894257
0 36.836657
0 34.506947
0 35.069077
0 34.949658
0 34.256723
0 32.669288
0 37.22473
0 38.695956
0 37.638578
0 34.395359
0 34.128794
0 36.31053
0 32.997556
0 31.255336
0 35.030431
0 35.691221
0 34.460306
0 32.782379
0 34.071716
0 35.335186
0 34.599771
0 35.738862
0 37.627617
0 35.605428
0 35.142035
0 34.160395
0 35.548249
0 31.617715
0 38.444378
0 36.081229
0 39.865802
0 34.787933
0 34.232664
0 35.586886
0 35.995688
0 33.805894
0 35.432279
0 35.638383
0 39.849586
0 33.480041
0 33.429883
0 32.950979
0 35.704615
0 33.244181
0 35.08851
0 36.639862
0 33.528422
