Time c_o3COM[3]
20000 38.175698
20000 19.475875
20000 19.817369
20000 25.660271
20000 31.260113
20000 30.873506
20000 18.116313
20000 19.570795
20000 34.863687
20000 17.605814
20000 22.198901
20000 34.407792
20000 21.897408
20000 52.946011
20000 59.987193
20000 37.214119
20000 20.025385
20000 23.834011
20000 20.019916
20000 21.086389
20000 20.490847
20000 24.110936
20000 30.825211
20000 20.860892
20000 30.95245
20000 21.440889
20000 28.417919
20000 18.223709
20000 20.380389
20000 25.460001
20000 22.638277
20000 19.193578
20000 23.654825
20000 33.848175
20000 19.833617
20000 21.150975
20000 20.969759
20000 19.32574
20000 21.123447
20000 21.843704
20000 19.790208
20000 22.475361
20000 21.229772
20000 30.328008
20000 18.937124
20000 18.345963
20000 17.554823
20000 20.124649
20000 19.878122
20000 30.272694
20000 55.763912
20000 52.996371
20000 32.514017
20000 18.454083
20000 25.60474
20000 51.621094
20000 18.469708
20000 20.074553
20000 19.003232
20000 23.224536
20000 27.611783
20000 21.213339
20000 85.697568
20000 32.526013
20000 39.270504
20000 21.62707
20000 20.220476
20000 40.136429
20000 21.366
20000 15.945516
20000 20.408078
20000 20.999067
20000 87.540688
20000 19.323806
20000 19.374267
20000 17.813099
20000 21.711448
20000 19.687803
20000 28.065205
20000 18.961603
20000 21.271657
20000 31.73981
20000 37.221312
20000 18.262081
20000 19.173529
20000 23.567896
20000 29.034334
20000 23.631848
20000 19.860165
20000 40.140053
20000 19.2485
20000 40.065623
20000 54.307419
20000 21.664293
20000 19.021471
20000 17.907253
20000 21.447133
20000 42.764481
20000 39.679634
20000 22.040176
20000 22.91779
20000 20.910972
20000 21.331102
20000 20.270151
20000 17.722242
20000 21.778451
20000 20.284777
20000 19.194388
20000 18.929606
20000 20.351493
20000 20.228729
20000 33.281759
20000 31.068149
20000 20.855771
20000 28.949778
20000 19.10206
20000 20.932554
20000 28.343886
20000 17.765319
20000 22.513636
20000 59.700224
20000 19.78707
20000 20.152756
20000 29.806168
20000 42.647498
20000 21.062494
20000 29.392205
20000 29.931301
20000 20.694676
20000 18.29855
20000 30.740622
20000 28.834245
20000 20.492779
20000 20.51603
20000 26.997916
20000 19.45186
20000 18.643617
20000 30.358994
20000 19.238864
20000 18.95747
20000 31.792454
20000 19.382394
20000 22.568789
20000 20.75762
20000 21.620001
20000 30.441675
20000 17.864495
20000 30.81214
20000 31.185612
20000 80.242955
20000 22.321976
20000 19.382566
20000 19.828988
20000 53.095091
20000 32.798499
20000 18.376902
20000 32.391139
20000 26.72561
20000 33.296807
20000 18.254726
20000 20.754506
20000 35.222383
20000 20.559616
20000 21.145867
20000 22.499988
20000 18.087886
20000 21.742499
20000 22.046253
20000 34.136757
20000 20.782954
20000 21.530145
20000 17.650209
20000 28.776917
20000 25.761159
20000 20.003935
20000 19.882685
20000 21.370357
20000 34.526948
20000 21.106549
20000 34.195162
20000 34.312381
20000 40.62512
20000 19.688396
20000 60.106972
20000 23.550256
20000 21.835079
20000 19.581015
20000 20.072784
20000 31.897811
20000 20.097264
20000 25.367125
20000 31.211282
20000 20.223125
20000 39.358648
20000 21.885546
20000 20.455235
20000 17.631472
20000 40.753403
20000 18.840288
20000 26.101788
20000 17.148305
20000 23.512497
20000 91.397935
20000 21.274292
20000 19.278114
20000 19.478991
20000 36.719302
20000 33.247102
20000 19.809229
20000 22.977637
20000 19.937933
20000 37.987807
20000 20.508979
20000 22.213255
20000 64.120662
20000 37.277591
20000 18.272461
20000 21.020267
20000 22.893762
20000 31.522531
20000 17.116548
20000 23.765535
20000 22.107433
20000 19.760057
20000 22.013887
20000 26.146404
20000 25.831239
20000 18.815653
20000 20.651634
20000 28.911836
20000 19.110458
20000 21.713585
20000 20.02935
20000 18.399542
20000 25.311874
20000 62.457736
20000 34.779772
20000 29.05625
20000 19.385866
20000 24.012576
20000 26.428924
20000 16.948883
20000 30.132139
20000 20.304029
20000 19.343792
20000 21.316427
20000 22.250583
20000 17.187828
20000 23.353375
20000 21.44352
20000 21.227524
20000 23.748726
20000 32.798664
20000 21.467199
