Time c_o3COM[3] v_zO3
15000 33.683211 -7.3722619e-05
15000 21.612037 0.0018064677
15000 19.872979 -0.0014057905
15000 17.386482 -0.00186702
15000 24.587783 0.0031463406
15000 19.900919 -0.00066396418
15000 20.494702 0.0036599728
15000 17.269727 0.0058543334
15000 19.308371 -0.0033780366
15000 18.98961 0.0022724863
15000 19.485211 0.0010012212
15000 21.804667 -0.00028672393
15000 36.687136 2.4660605e-05
15000 31.661193 -0.00035230358
15000 25.705249 0.0032958753
15000 23.044642 -0.0017053794
15000 18.504609 -0.0019111096
15000 37.145859 -0.00019381487
15000 20.499545 -0.0035725689
15000 21.446036 0.00016524381
15000 21.935665 5.1036058e-05
15000 20.714155 -0.0019049767
15000 30.638389 0.00070330683
15000 19.924614 -0.0013164001
15000 20.447956 0.0011101261
15000 21.466262 0.00022716043
15000 31.112953 -0.00049203121
15000 20.525424 0.0039601268
15000 21.643572 -0.0028170987
15000 18.900867 -0.00037894389
15000 20.34757 0.0012988709
15000 30.913382 0.001708057
15000 21.289912 -0.0046624063
15000 40.631228 0.0023779602
15000 33.767967 -0.00030107422
15000 19.269193 -9.8019477e-05
15000 33.89777 -0.00010961764
15000 21.093575 0.0019627029
15000 20.081286 0.0010997929
15000 31.516062 0.0019195184
15000 21.856769 -0.00026452271
15000 28.336597 3.4506653e-06
15000 25.216646 0.00044250619
15000 20.505662 0.0030482926
15000 22.753848 0.0024125601
15000 26.620482 0.0015860577
15000 23.942939 0.00062022092
15000 33.269046 -1.5254106e-05
15000 16.345033 -0.00085688111
15000 28.393486 -0.00095049453
15000 52.245005 0.002961839
15000 20.438817 0.00099719182
15000 20.116969 -0.0028986687
15000 26.038234 -0.0013630276
15000 33.037459 -2.9292993e-05
15000 26.159232 -0.0014926853
15000 24.727968 0.00061612199
15000 35.588631 0.0025735031
15000 32.480502 -0.0002065744
15000 34.620776 -0.00023928451
15000 27.653975 -0.0006140047
15000 18.718069 -0.0014512422
15000 22.05461 -0.00091959675
15000 22.839785 0.00047851958
15000 21.245325 0.0015173509
15000 23.591089 0.0015619278
15000 19.346264 -0.00078980226
15000 20.247996 0.0014140426
15000 49.49093 0.0028233059
15000 20.775162 -0.0023843357
15000 26.449861 -0.00098481768
15000 21.161731 0.00065634431
15000 22.967028 0.0029777152
15000 19.366246 0.0012207484
15000 21.553273 -0.0014384073
15000 21.062 -0.0030184
15000 32.306554 0.00064361979
15000 20.813607 -0.0018415546
15000 21.175655 -0.001808715
15000 19.023424 0.00025981001
15000 32.712704 -0.0003567762
15000 30.184339 0.0026837748
15000 20.350186 0.0063786609
15000 25.956482 0.00066203007
15000 24.508689 -0.0015200602
15000 21.1976 0.0029994743
15000 19.544717 -0.0024955159
15000 30.62079 -0.00028033977
15000 18.117385 0.0013492267
15000 46.356254 0.0020250402
15000 18.551205 0.0024608398
15000 20.164201 0.0046381076
15000 22.965952 0.0017015144
15000 21.258037 0.00060653995
15000 26.332418 0.00027441782
15000 29.349548 -0.00054891504
15000 23.052491 0.0063628427
15000 31.458266 -0.00042354803
15000 26.190124 -0.0010164962
15000 30.701978 -0.00016109626
15000 21.759727 0.0022752043
15000 33.39345 -0.00015330935
15000 20.530361 -0.0026389642
15000 19.018138 0.0017034202
15000 29.35907 -0.00069826385
15000 28.580716 -0.00061160869
15000 21.303509 -0.0011070202
15000 52.106361 0.0034621293
15000 21.604471 -0.001385331
15000 33.690816 -0.00026366432
15000 23.758452 -0.0024447922
15000 31.540449 -0.00023375888
15000 19.386734 0.001206247
15000 28.609428 -0.0006728061
15000 21.170084 -0.0025129805
15000 19.261642 0.00071732815
15000 36.154964 -0.00011693228
15000 27.646688 -0.00052517718
15000 89.214875 -0.0027729789
15000 29.591629 -0.00036816869
15000 24.238704 -0.00057722964
15000 17.711135 0.002003415
15000 24.630061 0.0019624401
15000 27.54561 0.0026144027
15000 28.097135 -0.00073882603
15000 33.871029 -2.9350186e-05
15000 48.515056 0.0025117978
15000 19.776636 -0.0043502228
15000 19.781716 -0.0021712878
15000 20.653794 -0.0035438372
15000 19.626419 -0.0010018851
15000 29.901188 -0.00011542254
15000 19.478045 0.0028175981
15000 33.27683 -0.00018701393
15000 19.489454 0.0013183911
15000 23.661869 -0.0024716069
15000 25.029993 -0.0026791666
15000 21.089896 0.0021048186
15000 26.384882 0.0025197342
15000 21.615063 0.0033830266
15000 19.318808 0.004737125
15000 33.772566 -0.00024622628
15000 21.710619 0.0020554392
15000 25.18343 0.00018498434
15000 20.52182 -0.0024290421
15000 19.845068 0.0024467534
15000 18.77364 0.00039032097
15000 19.040196 -0.00097791584
15000 31.362574 0.0017183656
15000 21.571229 -0.0035445995
15000 35.650579 4.6813601e-06
15000 22.173653 0.0047918699
15000 18.880934 -0.00091784895
15000 20.576923 0.0043989787
15000 18.411269 0.0015228385
15000 18.770878 0.0012105445
15000 20.603716 0.0021726339
15000 28.256776 -0.00075947017
15000 21.576895 0.0030362769
15000 25.88283 0.0035655699
15000 19.138058 0.0010370211
15000 21.269522 0.0014664129
15000 33.000188 -0.00039836244
15000 23.204376 -0.0015039181
15000 19.592619 -0.0010174742
15000 30.135981 0.0029134041
15000 21.68131 -0.0037524303
15000 20.869511 -0.00075566385
15000 49.112455 0.0031083097
15000 21.035269 0.0013657047
15000 19.916793 -0.0022366598
15000 21.156031 -0.0013898704
15000 19.934748 -0.0015471895
15000 29.424278 -0.00053117892
15000 25.103658 0.0023051342
15000 23.828618 -0.0039893852
15000 27.797569 -4.8209354e-05
15000 26.931154 -2.7249649e-05
15000 20.94241 0.00095504543
15000 18.742693 -0.00025059839
15000 19.478491 -0.0010376828
15000 17.41471 0.003205967
15000 21.831833 -0.0038140722
15000 20.081547 0.0047384714
15000 20.723574 0.0022139518
15000 21.441908 0.0031114972
15000 19.486054 0.00073539021
15000 20.729626 0.00060958798
15000 71.259885 0.0058671777
15000 28.522587 -0.00065201587
15000 23.893853 -0.0014857494
15000 22.982426 -0.0030218104
15000 21.197248 -0.0043956907
15000 19.814026 0.00033910345
15000 35.12808 -9.4821341e-05
15000 21.406494 -0.0014242941
15000 18.175659 8.6999275e-05
15000 24.551481 -0.0020608381
15000 20.294781 -0.0015648824
15000 27.215011 0.00038755289
15000 37.384316 0.0021690875
15000 31.30565 -0.00024178188
15000 19.525553 0.00037409373
15000 34.298711 -0.00010766745
15000 34.04315 -3.7713134e-05
15000 20.055752 -0.003757153
15000 30.233709 -0.00030730443
15000 20.141625 -0.0014459709
15000 39.731624 0.0013647954
15000 21.250836 -0.0034395387
15000 23.672403 0.0016980479
15000 19.151625 -0.00058002483
15000 19.608939 -0.00048732327
15000 57.544079 0.0038216453
15000 52.997607 0.0024246636
15000 19.657002 0.0017884956
15000 28.400621 0.0028114918
15000 29.0208 -0.00066962357
15000 27.032246 -0.00097258366
15000 20.967254 0.0046323972
15000 22.442954 0.0016639528
15000 20.895511 -0.0022070383
15000 21.321407 -0.0038823877
15000 20.089422 0.00058248249
15000 32.051309 -0.00012155132
15000 31.549536 -0.00029896443
15000 20.803987 -0.0034994399
15000 25.230726 0.0010796391
15000 23.2318 0.0017484803
15000 33.664057 -0.00032929175
15000 30.363931 0.0033681808
15000 21.428024 0.0022760015
15000 38.911904 0.0022842415
15000 18.332185 -0.0037224278
15000 22.891147 -0.0017737376
15000 20.829977 -0.0061453495
15000 21.731674 -0.00096926285
15000 27.000418 -0.00086386297
15000 19.229078 -0.0022494686
15000 26.377535 -0.00067540731
15000 46.877337 0.0028413674
15000 34.031391 2.6066449e-05
15000 21.327238 -0.00043826287
15000 22.253461 -0.0031414151
15000 20.090923 -0.004598573
15000 17.370713 0.001873629
15000 19.183626 -0.00084912313
15000 35.27744 0.0014297146
15000 32.975387 1.5025193e-06
15000 22.775773 0.0024146479
15000 18.86489 -0.0013130888
15000 20.52253 0.0020517739
15000 30.205262 0.0020619905
15000 22.211776 0.00078407913
15000 35.513215 -9.7109561e-05
15000 22.419008 0.00084719233
15000 17.658626 0.0020624604
15000 27.876197 0.0015999444
15000 28.565094 -0.00062902042
15000 21.602258 0.0044296658
15000 19.902898 0.0016215143
15000 20.329125 0.0038448041
15000 20.643788 0.001413298
15000 18.494666 -0.0036412141
15000 38.596152 0.0031531481
15000 22.315406 0.0010069347
15000 16.815967 -0.0023937343
15000 19.485175 -0.002835866
15000 19.632138 8.7648257e-05
15000 21.038475 -0.0024255998
15000 19.460217 -0.0027518937
15000 64.698456 0.0035058516
15000 22.232562 -0.001471279
15000 26.595705 -0.0013304809
15000 20.458285 0.0006314106
15000 34.332483 0.0025617279
15000 35.870053 9.4192563e-05
15000 19.07586 0.00013604898
15000 38.873306 0.0017094772
15000 43.781425 0.0025532236
15000 15.288228 0.0011478927
15000 33.39379 -0.00013911159
15000 23.422201 0.00080520988
15000 21.489883 0.0022866796
15000 22.699017 -0.0012771975
15000 33.385364 -0.00015875025
15000 35.866477 0.0046830637
15000 18.457814 0.0020222002
15000 16.775369 -0.0027146116
15000 25.102862 0.002820659
15000 19.074672 0.002294559
15000 30.092196 -0.00068692689
15000 37.866257 4.7314834e-05
15000 30.7232 0.0012668607
15000 20.118226 0.0015051029
15000 19.948967 -0.0040503421
15000 30.162858 -0.00054217309
15000 21.956629 0.00088463776
15000 19.769297 0.00027399369
15000 24.514467 -0.0015855448
15000 33.053447 0.0022550817
15000 30.59857 -0.00014425818
15000 29.321066 0.0031310209
