Time c_o3COM[3] v_zO3
13000 33.850847 -8.8144979e-05
13000 20.688539 0.0017319023
13000 19.680311 -0.0016407269
13000 18.733058 -0.0011030782
13000 21.232852 -0.0015092504
13000 21.04806 0.0037548576
13000 19.337626 0.0017088102
13000 18.694569 0.0017350147
13000 20.798039 -0.0036171712
13000 18.436036 0.0020330874
13000 21.212848 -0.0030170589
13000 21.456049 -0.00078426194
13000 36.913575 -0.00010366812
13000 32.299004 -0.00042841731
13000 25.506652 -0.0016775948
13000 21.325018 -0.0025073658
13000 20.013212 0.001019382
13000 37.363326 -0.00015144432
13000 24.903245 -0.001754174
13000 21.808797 -0.0022141251
13000 25.568282 -0.0015462114
13000 20.198623 0.0043851724
13000 29.153234 0.00088535417
13000 21.63564 4.3755489e-05
13000 19.999957 -0.0032354038
13000 23.381986 0.00025180085
13000 31.86844 -0.00034992901
13000 20.821412 0.0032353441
13000 22.8018 -0.0010050798
13000 16.784655 -0.00041767158
13000 18.75427 -0.00033045402
13000 27.495737 0.0017247548
13000 21.018475 -0.003680581
13000 35.868782 0.0023902249
13000 34.296501 -0.00024413515
13000 21.9436 -0.00047906538
13000 34.170595 -0.0001189425
13000 22.665297 0.0022147176
13000 23.616654 -0.0022885222
13000 27.409808 0.0021666542
13000 19.947473 0.0044600642
13000 27.811372 0.00065955518
13000 21.997979 0.0003873197
13000 22.646162 0.0013732751
13000 23.086493 -0.00055117392
13000 22.385883 -0.0027024286
13000 22.339154 0.0027503967
13000 33.343207 -9.7440764e-06
13000 22.137162 -0.0023856371
13000 29.703809 -0.00057016307
13000 46.120349 0.002955885
13000 21.771524 -0.0030138759
13000 18.515386 0.0009388638
13000 28.007459 -0.0008080548
13000 33.162957 -8.8959234e-05
13000 27.975749 -0.00062424808
13000 22.496429 0.00016584638
13000 30.274347 0.0026365908
13000 32.71349 -0.00019237212
13000 35.339092 -0.00036948551
13000 28.753257 -0.00048899796
13000 19.831675 -0.0014342877
13000 20.916407 -0.00048189187
13000 20.993875 -0.0021787872
13000 21.47874 -0.0030824129
13000 20.89941 -0.0017277523
13000 20.969624 -0.0033937093
13000 19.540896 -0.0026101736
13000 43.929565 0.0027581995
13000 21.085635 -0.0028973741
13000 28.142179 -0.00084031384
13000 19.986706 -0.0011196545
13000 22.211618 0.0018691037
13000 18.54427 0.0012028472
13000 22.407998 -0.00049338424
13000 21.919178 0.0013036746
13000 31.446689 0.00036804116
13000 24.873942 0.00085410982
13000 21.374245 0.00075446791
13000 18.979414 0.0011316629
13000 33.276469 -0.00032384879
13000 24.750826 0.00305149
13000 21.004156 0.0031610708
13000 23.682812 0.001793897
13000 22.50334 0.0029631005
13000 25.992705 -0.001757643
13000 20.198061 -0.00024619341
13000 31.189543 -0.00014009406
13000 19.506137 -7.7091166e-05
13000 42.309557 0.0021073875
13000 21.389335 -2.9676121e-05
13000 21.092166 0.0012296469
13000 25.714662 -0.0013176717
13000 21.873872 -0.0022505259
13000 23.705213 0.002805965
13000 30.231899 -0.00037412407
13000 22.491724 -0.00095679879
13000 32.156011 -0.00030445805
13000 27.737261 -0.00057826797
13000 31.128269 -0.00015551827
13000 20.45363 0.00052124818
13000 33.762252 -0.00021714561
13000 22.329207 -0.001623512
13000 17.732335 0.0034457803
13000 30.540511 -0.00054763347
13000 29.644527 -0.00039683358
13000 23.206577 0.00013369559
13000 45.156016 0.0035623947
13000 20.986786 0.0018867881
13000 34.17099 -0.00034036104
13000 26.838432 -0.0010524137
13000 32.094408 -0.00031355873
13000 23.207984 -0.00026416611
13000 29.891026 -0.00061438246
13000 21.98334 0.0013924607
13000 18.564437 0.0012869012
13000 36.310961 -2.5446066e-05
13000 28.770289 -0.00051358794
13000 80.877193 0.0065385514
13000 30.18663 -0.00024138436
13000 21.883871 -1.2587464e-06
13000 19.687873 0.0012850152
13000 22.283678 -0.0031473109
13000 22.503414 -0.0022587523
13000 29.305726 -0.00054387806
13000 34.03325 -0.00018481281
13000 43.251365 0.0026172635
13000 22.964089 -0.0041525183
13000 18.35308 -0.0049007807
13000 21.502127 -0.0019287628
13000 20.037162 -0.0019378121
13000 30.299601 -0.00010481372
13000 20.988403 0.0020869882
13000 33.772324 -0.00023135818
13000 20.674262 0.0022178237
13000 26.055675 -0.00065356865
13000 28.225954 -0.00099089645
13000 19.907912 0.0018946679
13000 22.000165 0.0020143102
13000 20.052819 -0.0005076942
13000 19.002456 0.00030519783
13000 34.278665 -0.0002316905
13000 22.726022 0.0028458995
13000 25.316814 -0.00084527498
13000 21.25492 0.0017334708
13000 24.65446 -0.002270405
13000 20.091794 0.0025883349
13000 17.803905 -0.0012501985
13000 28.104628 0.0017298532
13000 23.17808 -0.00031157053
13000 35.792034 -0.00014226959
13000 21.069829 0.0020958206
13000 20.410011 -0.0030578958
13000 23.071006 -0.002276539
13000 18.619467 -0.0015104057
13000 19.929065 0.0034644263
13000 21.304836 -0.0011791651
13000 29.324013 -0.00055310486
13000 23.078978 -0.0037671753
13000 25.936251 0.00065187699
13000 18.071896 -0.0011826582
13000 22.915414 -0.0024233664
13000 33.616333 -0.00020911377
13000 23.816522 0.0011769441
13000 18.817283 0.0019870156
13000 23.422894 0.0054301761
13000 22.523571 -0.0014057298
13000 22.281571 0.0033357372
13000 42.810288 0.0031027801
13000 23.18609 -0.00078875437
13000 21.414279 0.0022358891
13000 20.532652 -0.0029212486
13000 23.057011 -0.00024083665
13000 30.383951 -0.0005570081
13000 21.054609 0.0023226771
13000 27.157379 -0.00090718683
13000 27.947357 -5.0590888e-05
13000 26.419572 0.00060591361
13000 24.56322 0.00016940075
13000 19.816723 0.0018828632
13000 17.220021 -0.00099111337
13000 17.968814 0.0026446639
13000 23.535951 -0.00093943884
13000 21.029668 -0.00107864
13000 20.79273 -0.0024080164
13000 20.828481 -0.0018115121
13000 20.227505 0.00093759264
13000 19.726843 0.00011914168
13000 59.371787 0.0059163081
13000 29.599786 -0.00050775254
13000 24.6907 0.00053594576
13000 23.760847 0.0021419173
13000 22.150985 0.00069094623
13000 18.493435 0.0018556535
13000 35.247916 -0.00015244303
13000 19.169884 -0.00022241493
13000 18.264617 -0.00062233225
13000 27.211446 -0.00093426692
13000 21.172536 0.0034804668
13000 25.606953 0.0014291757
13000 32.830428 0.0022850678
13000 31.727409 -0.00029880241
13000 19.458903 -0.0023922407
13000 34.415216 -4.1070582e-05
13000 34.081144 3.6804092e-05
13000 20.592159 0.00061812344
13000 30.557907 -0.00019781199
13000 21.267249 -0.0020157325
13000 36.760034 0.0015490656
13000 21.009115 -0.0041176041
13000 24.136685 0.0023676647
13000 20.708592 0.00048563686
13000 19.958229 0.00085170555
13000 49.780453 0.0039119129
13000 48.248824 0.002402484
13000 19.425714 -0.00065074212
13000 20.928385 0.0042511383
13000 30.23456 -0.00051678256
13000 28.373208 -0.00048183122
13000 20.025169 0.0051102726
13000 21.354997 -0.00024873052
13000 24.687167 -0.00039051321
13000 23.827951 0.00033459331
13000 19.343551 -0.0030457784
13000 32.215236 -0.00017831608
13000 32.092357 -0.00032569642
13000 21.130826 0.00060125833
13000 20.566167 -2.4473714e-06
13000 22.375586 -0.0022987382
13000 34.100459 -0.00013666433
13000 23.134582 0.0042444004
13000 19.541801 0.0031021346
13000 34.435299 0.002180387
13000 19.455373 0.0026652528
13000 20.72857 -0.00074176638
13000 26.285591 -0.0023200803
13000 20.911756 -0.003442722
13000 28.522039 -0.000725875
13000 22.883256 -0.00031629316
13000 26.560966 0.00036483691
13000 41.183966 0.002738604
13000 34.037171 -5.8650891e-05
13000 25.475302 -0.0011671091
13000 23.514732 0.00034948449
13000 19.303463 -0.00085605437
13000 20.182305 0.00044824546
13000 20.633726 0.0019731231
13000 32.272448 0.0016124732
13000 33.033513 1.2193954e-05
13000 20.247585 -0.0030411452
13000 19.606073 0.00093238354
13000 19.934266 -0.0031652945
13000 25.924421 0.0024574665
13000 19.275409 -0.0022969417
13000 35.67013 -0.0001476426
13000 20.697296 0.00039668847
13000 18.856828 0.0021711273
13000 23.759338 0.0028448871
13000 29.832134 -0.00071562131
13000 20.440373 -0.0017387819
13000 21.569097 -0.0018097379
13000 20.994299 0.0047419153
13000 19.930056 0.0020399758
13000 18.940332 0.00020681361
13000 32.309942 0.0031442892
13000 20.426189 -0.00471528
13000 20.336026 -0.00035825011
13000 19.819857 -0.0010002241
13000 19.577561 -0.0016473286
13000 26.596065 -0.0015627542
13000 23.276995 -0.0015104886
13000 57.948563 0.0033179511
13000 20.062184 0.0015754065
13000 28.621217 -0.0008211719
13000 20.762322 0.00090347246
13000 29.284984 0.0024867096
13000 35.917676 3.5760449e-05
13000 19.154028 -0.0013482144
13000 35.377503 0.0017614157
13000 38.582107 0.0025439024
13000 14.839178 -0.0042546228
13000 33.667098 -0.00012328934
13000 19.399351 -0.00027509799
13000 20.491127 0.0030175925
13000 23.457379 0.00050736223
13000 33.651033 -4.7840824e-05
13000 26.17554 0.0054435734
13000 18.133671 -0.0005760756
13000 17.445259 -0.0011006418
13000 22.532935 -0.0042237661
13000 22.710731 -0.0020321306
13000 31.132746 -0.00042225706
13000 37.885939 0.00012046454
13000 27.882219 0.0015519606
13000 19.15742 -0.0016628682
13000 20.719405 0.003069624
13000 31.143603 -0.00051817564
13000 22.541278 -0.0011648954
13000 22.110336 -0.0028131901
13000 25.285021 0.00086804844
13000 28.42679 0.0023823619
13000 30.962602 -9.8428034e-05
13000 21.909053 0.0059243432
13000 20.209216 0.0015176677
13000 20.662462 -0.0021857128
13000 18.318191 -0.0035695044
13000 22.062438 -6.2408204e-05
13000 20.494153 -0.0010246322
13000 22.420978 -0.0046994087
13000 34.3927 -0.00016942155
13000 17.005725 -0.0038666009
13000 36.795403 0.0031663324
13000 22.27428 0.0027712978
13000 19.725589 0.0050282788
13000 20.426708 -0.0024622988
13000 20.814722 -0.0015247261
13000 21.310808 -0.00075894407
13000 17.449077 0.0021493684
13000 19.218688 -8.0692243e-05
13000 19.894391 -0.0030488636
13000 20.537452 0.00033158164
13000 18.985578 0.00052461651
13000 28.114759 0.0021456035
13000 40.97534 0.0019187521
13000 21.97514 0.0047911133
13000 21.580111 0.00087160273
13000 18.975833 -0.00095324296
13000 21.25758 -0.0012482209
13000 21.052443 0.0068375195
13000 23.324618 -0.00045429944
13000 34.444524 7.7830168e-05
13000 30.746557 -0.00027215426
13000 30.978473 -0.00030120386
13000 23.365908 -0.001857335
13000 31.92646 -0.00030322987
13000 24.528028 -0.0025463702
13000 19.018889 0.0016646519
13000 24.828967 0.0023602419
13000 20.320608 -0.00054378506
13000 20.017624 -0.00020728407
13000 22.540532 0.0030473574
13000 32.841691 -0.00028749374
13000 23.699294 0.000980642
13000 19.455286 0.0014564299
13000 27.144185 -0.00087056832
13000 26.557601 0.003533252
13000 22.787599 -0.0012660605
13000 20.868501 0.0018749244
13000 33.605945 -0.00013492274
13000 19.906871 -0.0027387748
13000 16.851788 0.0028635505
13000 46.663389 0.0041628127
13000 16.951905 0.001242792
13000 23.35616 0.00086340059
13000 25.960199 0.0020016424
13000 34.440972 -0.00012872665
13000 19.941108 1.8828803e-05
13000 30.929673 0.0017953335
13000 21.87506 0.001357355
13000 19.616554 0.00063174374
13000 22.282409 -0.0023002253
13000 21.41477 -0.0041067339
13000 20.678675 0.00082920379
13000 33.796233 0.0032183771
13000 21.57332 -0.00071846776
13000 35.025841 0.0024245304
13000 21.959309 0.0023106616
13000 33.70188 0.00012536882
13000 21.460797 0.00030100105
13000 26.09217 0.00025279367
13000 21.116537 0.00058779253
13000 17.906132 0.00047804559
13000 20.738285 0.0013889119
13000 20.383683 0.000728019
13000 20.36179 -0.00082189701
13000 23.578673 -0.0025519903
13000 24.266671 0.00070803688
13000 32.783285 -8.1153793e-05
13000 19.803308 0.0033692933
13000 32.811773 -0.00023709742
13000 31.827984 -0.00031983203
13000 33.549476 0.0018693492
13000 18.15912 0.0021477917
13000 30.239125 0.0021821643
13000 34.460498 -1.9390485e-05
13000 21.088147 -0.0036445324
13000 22.401401 0.0016622195
13000 18.349611 0.0026255929
13000 19.589383 0.002664062
13000 23.199583 0.00030952398
13000 19.429003 -0.0025626918
13000 20.753354 0.0037115596
13000 23.12074 0.0005618439
13000 18.266064 -0.0013549762
13000 28.628265 -0.00078009312
13000 28.67331 -0.00069196536
13000 28.237458 -0.00058287751
13000 20.375472 0.00092014198
13000 20.587731 0.0060305841
13000 32.924998 0.00085474746
13000 33.546271 0.0015553309
13000 30.0665 -0.00054126966
13000 18.850845 -0.0032281702
13000 18.585102 -0.00045357158
13000 21.842612 0.00040987328
13000 27.542134 0.0002473292
13000 19.536561 0.0037015136
13000 23.800464 0.0028739739
13000 20.826507 -0.0028979598
13000 28.927647 0.0018908356
13000 31.890741 -0.00014327266
