Time c_o3COM[3] v_zO3
4000 34.55994 -9.877541e-05
4000 31.18107 -0.0015628021
4000 31.61913 -0.0011229865
4000 28.224199 -0.0026894022
4000 28.987369 -0.0013539152
4000 26.465065 -0.0033219561
4000 22.355963 0.0010146811
4000 23.458019 -0.0041027071
4000 27.636915 -0.0024148162
4000 27.651312 -0.0021948605
4000 29.26916 -0.0012395152
4000 19.611751 -0.0043326086
4000 37.900962 -0.00013298773
4000 35.141768 -0.00034829025
4000 31.647711 -0.00051663517
4000 25.565246 -0.0023995663
4000 29.537543 -0.0015064787
4000 38.222377 -0.00016555307
4000 32.52653 -0.00073521273
4000 27.120715 -0.0018142319
4000 32.944492 -0.00079165728
4000 19.519921 -0.0054977232
4000 26.986525 -0.0028538097
4000 31.482806 -0.0015151827
4000 32.21298 -0.0020845893
4000 32.349706 -0.00082655205
4000 35.365267 -0.00032349092
4000 26.948708 -0.0025593916
4000 24.327501 -0.0029531859
4000 22.990472 -0.0037291955
4000 31.814232 -0.0012234435
4000 25.233129 -0.0023657511
4000 27.100906 -0.0026869518
4000 26.037426 -0.0026741745
4000 36.630658 -0.00024130902
4000 28.428186 -0.0018673001
4000 35.338579 -0.00014505265
4000 21.7992 0.00089213508
4000 31.651724 -0.00063822978
4000 27.024223 -0.0014339804
4000 23.181669 0.0017245424
4000 22.803027 -0.00041491278
4000 31.455271 -0.00047492541
4000 29.719287 -0.00056405852
4000 31.680426 -0.00080371264
4000 27.612642 -0.0013333453
4000 25.918289 -0.0027397704
4000 33.6795 -1.1892253e-05
4000 32.955515 -0.0011193722
4000 32.578978 -0.00021766058
4000 23.395707 -0.0016871062
4000 29.232647 -0.00086415478
4000 30.028739 -0.0018704618
4000 33.132065 -0.00050224114
4000 33.783757 -9.1793389e-05
4000 33.25922 -0.00059312605
4000 28.814625 -0.0020061797
4000 28.426795 -0.0014915928
4000 33.787971 -6.8381574e-05
4000 38.551425 -0.00034891614
4000 30.9375 -9.3078275e-05
4000 23.636175 -0.0034724204
4000 24.025608 0.0010498732
4000 29.543941 -0.0014796175
4000 25.958303 -0.0029574123
4000 29.582407 -0.002208272
4000 31.599553 -0.0011597495
4000 23.99034 -0.00332657
4000 25.525408 -0.0033988824
4000 28.176533 -0.0018766873
4000 33.591063 -0.0006230175
4000 26.200658 -0.0027256813
4000 30.637676 -0.00059463179
4000 23.629612 -0.0039874862
4000 27.635345 -0.0022467149
4000 24.828241 -0.0040857293
4000 23.812298 0.0032826166
4000 19.865335 -0.0071439326
4000 27.855986 -0.001845854
4000 30.016096 -0.001379515
4000 35.811827 -0.00021894089
4000 30.63923 -0.0013385359
4000 20.938993 -0.0015425127
4000 27.782018 -0.0024704235
4000 27.680776 -0.0022837483
4000 33.78001 -0.00072914227
4000 30.164542 -0.0012880162
4000 33.457184 -0.00027495746
4000 17.60904 -0.00013676379
4000 23.898407 0.00072855786
4000 30.456879 -0.0016744515
4000 19.601194 -0.0011533446
4000 31.605942 -0.00060427913
4000 23.113535 0.0043413321
4000 28.233741 -0.0012981026
4000 33.30468 -0.00036993498
4000 22.944044 0.0011080432
4000 35.562394 -0.00044783079
4000 32.188838 -0.00055990554
4000 32.707872 -0.0001466901
4000 27.690007 -0.0024226424
4000 35.647016 -0.00031296916
4000 32.309617 -0.0014014257
4000 22.273912 -0.0029369354
4000 35.145041 -0.00054895251
4000 32.805776 -0.0003091916
4000 29.618299 -0.001508206
4000 26.942683 -0.0020707125
4000 29.985493 -0.0018998489
4000 36.303213 -0.00029283167
4000 33.747008 -0.00070793763
4000 34.443631 -0.0002912525
4000 28.325872 -0.0016246006
4000 35.278949 -0.00053796888
4000 18.701282 0.0010879715
4000 21.993165 -0.0054116964
4000 36.993208 -9.6731172e-05
4000 33.016618 -0.00035090189
4000 22.332732 0.0074161606
4000 32.71484 -0.00025826631
4000 20.446359 0.0044947136
4000 28.066189 -0.0017024288
4000 25.048643 -0.0024828777
4000 30.484871 -0.00055953464
4000 32.908511 -0.00035285094
4000 34.676226 -4.0213447e-05
4000 27.336394 -0.0014803417
4000 31.182011 -0.00056992253
