Time c_o3COM[3] v_zO3
5000 34.473541 -6.9109748e-05
5000 29.738957 -0.0016501079
5000 30.508271 -0.0011558649
5000 25.297193 -0.0036382513
5000 27.599426 -0.0012919573
5000 23.205621 -0.0008945934
5000 23.606628 0.0013879087
5000 21.628815 0.0023131424
5000 25.056932 -0.0027898783
5000 25.300449 -0.0026190614
5000 28.047128 -0.0012775584
5000 20.870777 0.00018458169
5000 37.789839 -0.00010248528
5000 34.808989 -0.00032644266
5000 31.155103 -0.00051456582
5000 22.544721 -0.0040392154
5000 28.141231 -0.0013029185
5000 38.126921 -0.00011199018
5000 31.803199 -0.0007792938
5000 24.964007 -0.0027971559
5000 32.214478 -0.00061718008
5000 20.009325 -0.00047745005
5000 23.913181 -0.0035314612
5000 29.980627 -0.0015783839
5000 30.158203 -0.0020916958
5000 31.59797 -0.00068174438
5000 34.980609 -0.00032686183
5000 24.012228 -0.0036068563
5000 21.72334 0.0037031531
5000 21.097627 -0.0015954142
5000 30.569683 -0.0012673109
5000 22.303628 -0.003854335
5000 24.071228 -0.0038465335
5000 23.065162 -0.0039878683
5000 36.37208 -0.00025332025
5000 26.511271 -0.002089354
5000 35.21049 -0.00015292461
5000 22.720164 0.0016313813
5000 31.043588 -0.00058623551
5000 25.11112 -0.001091642
5000 24.526781 0.00064072505
5000 22.037089 -0.00036872147
5000 30.842285 -0.00050999937
5000 29.099135 -0.00067005122
5000 30.948577 -0.00065011307
5000 25.949763 -0.0022166447
5000 23.184496 -0.00045904285
5000 33.647273 8.4994019e-06
5000 31.825582 -0.0011749015
5000 32.339367 -0.00022762202
5000 20.480758 0.00026053705
5000 28.392098 -0.00078882686
5000 28.134478 -0.0020461134
5000 32.632403 -0.00059150028
5000 33.711547 -7.7667765e-05
5000 32.714766 -0.00047519153
5000 26.758696 -0.0019480379
5000 26.801179 -0.0017531812
5000 33.653226 -0.00020954967
5000 38.199216 -0.00027060314
5000 30.811885 -0.00013798391
5000 20.143091 -0.0017697501
5000 23.964496 -0.0010280207
5000 28.06646 -0.0014962368
5000 22.31425 -0.0051823551
5000 27.318101 -0.0023030991
5000 30.433476 -0.001245818
5000 19.066251 -0.0034170804
5000 21.648856 -0.0057551135
5000 26.270275 -0.001995176
5000 33.018248 -0.00062599766
5000 23.003159 -0.0042573382
5000 29.978798 -0.00069423824
5000 19.531749 -0.0011556908
5000 25.271389 -0.0026717875
5000 19.481006 0.0014987949
5000 25.995072 0.0015367079
5000 19.117588 0.0033330614
5000 25.877067 -0.0022451482
5000 28.600216 -0.0014124455
5000 35.529259 -0.00020713254
5000 29.41971 -0.0012922612
5000 22.290055 -0.0020161243
5000 25.296609 -0.0026384725
5000 25.350485 -0.002533147
5000 33.008734 -0.0007503926
5000 28.877854 -0.0012902927
5000 33.20278 -0.00036165855
5000 20.668288 0.0017746195
5000 25.204316 0.0043670624
5000 28.740892 -0.0017866788
5000 19.359472 0.00017427545
5000 31.018126 -0.00061924721
5000 24.632662 0.00012168129
5000 26.841751 -0.0015457002
5000 32.979689 -0.00042627455
5000 21.313179 -0.0031939692
5000 35.186442 -0.00043083898
5000 31.762367 -0.00047124916
5000 32.544373 -0.00011832637
5000 25.11763 -0.0029336764
5000 35.413283 -0.00034702103
5000 30.921163 -0.0013708389
5000 18.569447 0.00086444899
5000 34.641676 -0.00049643595
5000 32.464602 -0.00039163335
5000 28.070519 -0.0015893408
5000 24.714172 -0.0025243538
5000 28.087238 -0.001995162
5000 36.063962 -0.00016966046
5000 33.012519 -0.00073322611
5000 34.186327 -9.5842269e-05
5000 26.6667 -0.0016937127
5000 34.694387 -0.0005575841
5000 19.828302 0.00045998645
5000 21.738316 0.00090296371
5000 36.918083 -9.7350306e-05
5000 32.552818 -0.00060018977
5000 29.057231 0.0064786375
5000 32.415033 -0.0003349319
5000 23.485273 0.0013842047
5000 25.938634 -0.002495508
5000 21.704353 -0.0027354349
5000 29.88748 -0.00061765973
