Time c_o3COM[3] v_zO3
0 34.914759 -9.3999078e-05
0 36.714914 -0.0013804573
0 36.071217 -0.0011162306
0 38.103685 -0.0024499867
0 34.515012 -0.0013606638
0 38.607309 -0.0030156923
0 31.02787 -0.0022382554
0 35.133218 -0.0027901977
0 36.90316 -0.0022947138
0 36.692448 -0.0022608041
0 34.09431 -0.0011933847
0 34.154772 -0.0029966291
0 38.347921 -0.00010904916
0 36.515148 -0.00035160527
0 33.588927 -0.00047722038
0 33.935481 -0.0020020248
0 34.944737 -0.0013460753
0 38.613465 -9.9620509e-05
0 35.491988 -0.00074120575
0 33.713425 -0.0016093989
0 35.873314 -0.00073588472
0 32.850276 -0.0026012988
0 38.029015 -0.0027509441
0 37.409045 -0.0014817362
0 40.40174 -0.0020467671
0 35.313895 -0.00075086228
0 36.890959 -0.00038053185
0 36.208943 -0.0022655629
0 32.324352 -0.0018776014
0 34.316602 -0.002726011
0 36.812638 -0.0012488796
0 32.504956 -0.0017157254
0 37.55496 -0.0026105615
0 35.553215 -0.0023374201
0 37.656722 -0.00025571488
0 35.220077 -0.001673075
0 35.842177 -0.00012475305
0 32.211302 -0.0051372829
0 34.070045 -0.00060388039
0 31.636207 -0.0010935228
0 31.695527 -0.0037013281
0 36.808573 -0.0034444256
0 33.902957 -0.00061478845
0 32.119727 -0.0005734372
0 34.637183 -0.00073653142
0 31.18208 -0.0007976324
0 32.876378 -0.0015751102
0 33.76204 -4.0027914e-05
0 37.490941 -0.0011276897
0 33.521943 -0.00024347537
0 29.706556 -0.0037437749
0 32.44567 -0.00079928717
0 37.490746 -0.0018629018
0 35.146373 -0.00050481646
0 34.017631 -4.9230744e-05
0 35.459852 -0.00054427442
0 37.053991 -0.0020620025
0 34.111474 -0.0013940737
0 34.336673 -0.00012837277
0 39.973469 -0.00035683247
0 31.485288 -0.00012749032
0 33.44333 -0.0022105938
0 33.291438 -0.003050892
0 35.371875 -0.0014605046
0 36.376891 -0.0025565816
0 38.393199 -0.0021973886
0 36.239118 -0.0011515353
0 36.162715 -0.0029849245
0 38.288906 -0.0031885808
0 35.168268 -0.0016849559
0 35.87383 -0.00057339202
0 36.460047 -0.0025438419
0 33.058681 -0.0005940293
0 34.512459 -0.0025739943
0 36.007864 -0.0020763071
0 36.018076 -0.0026268615
0 33.385765 -0.0031156618
0 35.456293 -0.0035942079
0 35.194384 -0.0018303731
0 35.528802 -0.0013766477
0 36.945896 -0.00028438742
0 35.459422 -0.0011915957
0 36.598278 -0.0037429604
0 37.536148 -0.0024421563
0 36.369624 -0.0021430882
0 36.854903 -0.00077524158
0 35.332795 -0.0012980765
0 34.50629 -0.00026006927
0 32.952348 -0.0037622855
0 32.259895 -0.0043707955
0 37.039641 -0.0016345386
0 36.144354 -0.0049109906
0 34.104787 -0.00064733991
0 33.054647 -0.0032609394
0 33.448007 -0.0012918881
0 34.597955 -0.00031841614
0 33.403571 -0.0022604306
0 37.05995 -0.00037881831
0 33.916765 -0.00043232624
0 33.428386 -0.00018272314
0 36.99791 -0.0023276455
0 36.61703 -0.00024794582
