Time c_o3COM[3] v_zO3
1000 34.823798 -2.5872803e-05
1000 35.332861 -0.0014035228
1000 34.955165 -0.0011948425
1000 35.65204 -0.0023421512
1000 33.151274 -0.0014008573
1000 35.591649 -0.0031450065
1000 28.79385 -0.002243213
1000 32.342769 -0.0027871252
1000 34.604519 -0.0022632089
1000 34.432802 -0.0023041701
1000 32.893302 -0.0011573004
1000 31.164939 -0.0030482071
1000 38.238724 -7.0331337e-05
1000 36.165638 -0.00041944953
1000 33.104366 -0.00052787677
1000 31.927242 -0.0019744449
1000 33.60187 -0.001269905
1000 38.513478 -7.0998604e-05
1000 34.751138 -0.0008156203
1000 32.103049 -0.0016595986
1000 35.136512 -0.00082701775
1000 30.246455 -0.002612122
1000 35.278479 -0.0028387313
1000 35.928909 -0.0014916085
1000 38.354596 -0.0020806623
1000 34.567692 -0.00076880812
1000 36.510637 -0.00036629207
1000 33.941985 -0.0023045085
1000 30.446363 -0.0019191215
1000 31.588618 -0.0028026141
1000 35.561573 -0.0012913882
1000 30.788061 -0.0017140965
1000 34.943903 -0.0026585377
1000 33.217365 -0.0023161047
1000 37.401783 -0.00025424072
1000 33.548401 -0.0017289883
1000 35.715639 -0.00014289911
1000 27.047888 -0.0053075791
1000 33.469887 -0.00060095084
1000 30.540916 -0.0011084843
1000 27.992957 -0.0036769816
1000 33.364247 -0.0034932968
1000 33.289527 -0.00052878005
1000 31.536492 -0.00044158344
1000 33.898445 -0.00070435578
1000 30.387286 -0.00074373402
1000 31.298692 -0.0015430221
1000 33.729348 -4.5115701e-05
1000 36.362529 -0.0011873265
1000 33.28594 -0.00021507608
1000 25.855126 -0.0041223426
1000 31.646275 -0.00083477045
1000 35.628619 -0.0018429326
1000 34.641567 -0.00052367343
1000 33.966659 -7.990232e-05
1000 34.918103 -0.00052144121
1000 34.995176 -0.0020644128
1000 32.717049 -0.0014248889
1000 34.202233 -0.00018255737
1000 39.615051 -0.00032434236
1000 31.347929 -0.00012225311
1000 31.229846 -0.0021785919
1000 30.24384 -0.0030414498
1000 33.911907 -0.0015328178
1000 33.820142 -0.0025705813
1000 36.194466 -0.0022140974
1000 35.085364 -0.0011324123
1000 33.1796 -0.0031025026
1000 35.100279 -0.0031912448
1000 33.48263 -0.0017516277
1000 35.302228 -0.00060157412
1000 33.916102 -0.0025707397
1000 32.460555 -0.0005525784
1000 31.933785 -0.0025502969
1000 33.933571 -0.0020987449
1000 33.392152 -0.0025402926
1000 30.263395 -0.0031631629
1000 31.859995 -0.0036287098
1000 33.363951 -0.0018252836
1000 34.152676 -0.001390066
1000 36.662055 -0.00027983386
1000 34.264696 -0.0012984542
1000 32.853854 -0.003769368
1000 35.093785 -0.0023799223
1000 34.228596 -0.0020945421
1000 36.079983 -0.00075165935
1000 34.039903 -0.0013193007
1000 34.243076 -0.00030519183
1000 29.193372 -0.0037263983
1000 27.883297 -0.0043829352
1000 35.405315 -0.0016852522
1000 31.234315 -0.0049195155
1000 33.462663 -0.00065712906
1000 29.795222 -0.0032578416
1000 32.151135 -0.0012926182
1000 34.280385 -0.00037742515
1000 31.140431 -0.00224077
1000 36.684461 -0.0003601289
1000 33.48361 -0.00052889116
1000 33.244546 -0.00020945153
1000 34.670412 -0.0023519782
1000 36.369014 -0.00019055004
1000 36.443575 -0.0014801257
1000 28.890303 -0.0018702964
1000 36.658991 -0.00051673105
1000 33.810938 -0.00025148528
1000 34.111272 -0.0015685443
1000 32.326953 -0.0016367276
1000 35.536753 -0.0018610022
1000 36.995026 -0.0001037644
1000 35.974987 -0.00072573871
1000 35.210512 -0.00026724215
1000 33.126045 -0.0015895089
1000 37.023162 -0.00064079769
1000 31.925545 -0.0048352207
1000 32.000129 -0.0029980935
1000 37.209964 -5.259658e-05
1000 34.397553 -0.00033376993
1000 30.880731 -0.0035400402
1000 33.620865 -0.00035753099
1000 31.779451 -0.0047982535
1000 33.156404 -0.0015612065
1000 29.66354 -0.0011836043
1000 32.263961 -0.00051850898
1000 34.010036 -0.00031444337
1000 34.803993 -8.0833582e-06
1000 30.754313 -0.0010885917
1000 32.807617 -0.00053545229
1000 32.080478 -0.0024406676
1000 34.8073 -0.0017409087
1000 33.827748 -0.0014805071
1000 32.170352 -0.00020151967
1000 30.08537 -0.0002472108
1000 36.651292 -0.00023516056
1000 31.845494 -0.0020056443
1000 32.878463 -0.0031912039
1000 36.100501 -0.00061122366
1000 30.768595 -0.0019376102
1000 28.694271 -0.0028183667
1000 29.711907 -0.0032810416
1000 35.297563 -0.0020625731
1000 37.268115 -0.00022323399
1000 31.416244 -0.003686795
1000 30.349412 -0.0024808894
1000 33.044505 -0.0010681124
1000 34.545145 -0.00063447216
1000 33.960049 -0.0028530415
1000 35.583878 -0.0013121898
1000 32.774217 -0.0026387983
1000 29.858545 -0.0029256879
1000 36.648578 -5.8752218e-05
1000 33.612103 -0.00064535058
1000 35.039359 -0.0023408511
1000 34.241637 -0.0026597935
1000 31.396397 -0.0025362084
1000 33.13731 -0.0011465047
1000 37.970174 -0.0013749092
1000 34.768676 -0.0004877069
1000 30.521279 -0.0029001034
1000 31.642477 -0.00089473321
1000 34.686255 -0.0024343119
1000 34.217257 -0.0018915756
1000 37.347818 -0.00037104295
1000 32.010689 -0.0023104977
1000 31.513788 -0.0029656975
1000 30.984494 -0.00087839019
1000 35.16256 -0.0019271528
1000 29.185952 -0.0021190155
1000 36.714022 -0.0022863423
1000 34.62097 -0.0015440424
1000 33.848094 -0.0022975043
1000 35.165643 -0.0028384182
1000 30.940851 -0.0043148515
1000 35.698179 -0.00052367087
1000 32.304045 -0.001322686
1000 33.775351 -0.00055655519
1000 31.905057 -0.0025543651
1000 33.326971 -0.0025673847
1000 35.849224 -0.0011938047
1000 34.402273 -0.0018564313
1000 32.509059 -0.0015602977
1000 34.441861 -0.0020154578
1000 30.591719 -0.0035417011
1000 37.545968 -0.0025616019
1000 29.27683 -0.0051812479
1000 32.432073 -0.00049774233
1000 33.405722 -0.0010284358
1000 32.508346 -0.00095019294
1000 34.123919 -0.0019515923
1000 34.036602 -0.00028259423
1000 33.085645 -0.0035270117
