Time c_o3COM[3] v_zO3
30000 32.475138 -7.9396363e-05
30000 42.449837 0.0019060597
30000 20.989422 0.0019973287
30000 18.669675 0.0036027055
30000 49.076481 0.0015691107
30000 19.382913 -0.0044880482
30000 19.125269 0.001485722
30000 16.967552 0.0032724196
30000 17.860992 0.0012544249
30000 31.351522 0.00064375235
30000 22.190446 -0.0035896489
30000 20.555202 0.00038826989
30000 35.165844 -8.8185585e-05
30000 22.018517 0.00026897935
30000 70.85576 0.0030610143
30000 21.226654 0.00078570198
30000 21.609892 8.3939042e-05
30000 35.384745 -6.4582543e-05
30000 22.116068 -0.00073319607
30000 29.985782 0.0021296874
30000 42.14641 0.0013997383
30000 27.187355 0.00090317148
30000 40.954051 0.00059789452
30000 21.180331 -0.0025491319
30000 33.665778 0.0014585542
30000 23.254708 0.00061315416
30000 21.609996 -0.0012259248
30000 18.511444 -0.00078710105
30000 56.256979 0.003178396
30000 67.928207 0.0035189343
30000 23.737979 0.0021750415
30000 56.017423 0.0015965318
30000 21.423708 -0.0025495535
30000 76.367413 0.0023764902
30000 29.549874 -0.00039350747
30000 33.499967 0.004430574
30000 31.821607 -0.0002452599
30000 20.141097 -9.4763349e-05
30000 18.877098 0.0022565954
30000 61.120975 0.0019691589
30000 46.900514 0.003613296
30000 19.286159 0.0030134396
30000 24.382125 0.00067120265
30000 22.680065 -0.00046029888
30000 80.620719 0.0052703529
30000 42.375307 0.0011547626
30000 19.123987 0.0009624079
30000 32.264183 -7.26198e-05
30000 24.25596 -4.4721686e-05
30000 20.558356 -0.00086722277
30000 91.723153 0.0014465982
30000 20.194833 -0.00016968193
30000 21.157546 0.002084902
30000 18.248614 0.0058806199
30000 31.187419 -0.00030084095
30000 46.31159 0.0015088469
30000 18.317276 0.0024985438
30000 75.457132 0.0026876131
30000 30.040832 -0.00021547325
30000 29.076569 -0.00020168167
30000 21.252727 -0.0030818165
30000 22.44128 0.00062338148
30000 20.731392 -0.0020747953
30000 20.985432 0.00041998545
30000 19.393358 -0.00019575212
30000 23.032553 -0.0015602422
30000 17.155025 -0.0034356093
30000 22.020391 -0.003738304
30000 92.282146 0.0039876424
30000 23.523531 -0.0030148298
30000 33.389549 0.0018425047
30000 23.686708 3.3753401e-05
30000 20.784281 0.0022529769
30000 19.857349 2.3136376e-05
30000 20.387084 0.0025328784
